id,tour_id,title,original_price_usd,final_price_usd
1,1,"AM City Tour",65.00,52.78
2,1,"AM City Tour & 4h Bike Rental",89.00,72.27
3,1,"AM City Tour & Aquarium",93.00,75.51
4,1,"AM City Tour & Bay Cruise",95.00,77.14
5,2,"Straight to the Gate Access: San Francisco Escape from the Rock Cruise",46.00,32.48
6,3,"San Francisco Half-Day Tour",69.00,69.00
7,4,"Streets of San Francisco Tour",99.00,82.61
8,5,"Cable Car Audio Tour Only",15.00,13.05
9,5,"Tour and Cable Car Tickets",23.00,20.01
10,5,"Tour and Cable Car Tickets",39.00,33.93
11,6,"North Beach/Little Italy Walking Food Tour | Adult (14 years or older)",74.00,74.00
12,6,"North Beach/Little Italy Walking Food Tour | 1 Adult (14 years or older) and 1 Child (2-7 years old)",99.00,99.00
13,6,"North Beach/Little Italy Walking Food Tour | 1 Adult (14 years or older) and 1 Teenager (8-13 years old)",123.00,123.00
14,7,"Chinatown & North Beach Walking Tour | 1 adult (14 years or older) and 1 teenager (8-13 years old)",138.00,138.00
15,7,"Chinatown & North Beach Walking Tour | 1 Adult (14 years or older) and 1 Child (2-7 years old)",114.00,114.00
16,7,"Chinatown & North Beach Walking Tour | Adult (14 years or older)",84.00,84.00
17,8,"Golden Gate Bridge to Sausalito Bike Tour | City Bike",65.00,54.24
18,8,"Golden Gate Bridge to Sausalito Bike Tour with Ferry Ticket | City Bike",83.00,69.26
19,8,"Golden Gate Bridge to Sausalito Bike Tour | Electric Bike",95.00,79.27
20,8,"Golden Gate Bridge to Sausalito Bike Tour with Ferry Ticket | Electric Bike",113.00,94.29
21,9,"Chinatown Walking Food Tour | 1 Adult (14 years or older) and 1 Child (2-7 years old)",99.00,99.00
22,9,"Chinatown Walking Food Tour | 1 Adult (14 years or older) and 1 Teenager (8-13 years old)",123.00,123.00
23,9,"Chinatown Walking Food Tour | Adult (14 years or older)",74.00,74.00
24,10,"Redwoods of Marin and Mt. Tamalpais Walking Tour with Local Guide",65.00,58.36
25,11,"Private Sailing Charter (3hr.)",895.00,768.27
26,12,"Wine and Dine on a Century Old Sausalito Yacht",400.00,348.00
27,13,"Private Sailing Charter (2hr.)",795.00,682.43
28,14,"Double Decker City Tour",68.00,54.09
29,15,"The Golden Gate Bridge Guided Bike Tour by Unlimited Biking",70.65,59.89
30,16,"Mission District Walking Tour",99.00,78.70
31,17,"San Francisco City Tour (Morning Departure)",69.00,54.85
32,18,"Join-In Tour",48.99,39.00
33,19,"1300 Columbus Ave",85.00,70.00
34,19,"Private Option: 427 Post St",NULL,NULL
35,19,"427 Post St",NULL,NULL
36,20,"8:30 AM Departure",85.00,73.95
37,20,"2 PM Departure",85.00,73.95
38,20,"11 AM Departure",85.00,73.95
39,20,"5 PM Departure",NULL,NULL
40,21,"Alcatraz and Golden Gate Bridge Express",97.99,80.70
41,21,"Alcatraz Across Bridge UPGRADE",125.99,103.76
42,21,"Van+WalkEntireBridge w/Brunch",135.00,111.19
43,22,"Mission District",89.00,76.40
44,22,"North Beach and Chinatown",89.00,76.40
45,22,"Private Tour Option",306.00,262.67
46,23,"Public Tour by Classic Bike",65.00,52.03
47,23,"Public Tour by Electric Bike",95.00,76.04
48,24,"SF City Tour (2 hrs) - Classic",72.99,62.65
49,25,"Historical NorthBeach Pub Tour",39.00,33.93
50,26,"Airplane Napa Valley Flight Tour",618.00,547.67
51,28,"Group of 1 - 4",434.00,377.58
