tour_id,title,rating,n_reviews,duration,is_pickup_offered,is_risk_free_cancellation,overview,starting_price_usd,duration_type
1,"San Francisco Grand City Tour",4.2,547,4.0,0,1,"Enjoy a four-hour guided tour of San Francisco. At each stop, you will have the chance to get off the bus and see the sights. Tour the city from the Bay to the Pacific Ocean, with photo stops at key locations. Enjoy great views and visit famous attractions, including the Golden Gate Bridge, Twin peaks, Land's End, and Palace of Fine Arts. Opt to upgrade your tour to include a bay cruise, or 4-hour bike rental, or a visit to the Aquarium of the Bay, to complete your San Francisco experience!",52.78,"1-4 hours"
2,"Straight to the Gate Access: San Francisco Escape from the Rock Cruise",4.1,130,1.5,0,1,"Embark on a 90-minute cruise along the San Francisco waterfront, under the Golden Gate Bridge and past Angel Island State Park before circling Alcatraz Island for an in-depth view of the prison. Take in the sights and sounds of the island as you listen to ex-guards and former inmates tell their stories of murder, mayhem, and mobsters on an audio tour with historical photos via your smartphone, tablet or other WiFi-enabled device. This ticket allows you to skip the box office line and go straight to the gate.",32.48,"1-4 hours"
3,"San Francisco Half-Day Tour: Golden Gate Bridge & Golden Gate Park",3.5,2,4.0,0,1,NULL,69.00,"1-4 hours"
4,"Streets of San Francisco Electric Bike Tour | San Francisco, US",NULL,0,3.5,0,1,NULL,82.61,"1-4 hours"
5,"Self-Guided Cable Car City Tour in San Francisco",3.0,102,1.0,0,1,"Explore the best sights of San Francisco at your leisure, while riding the world famous Cable Car! We will stop at many attractions like Union Square, Chinatown, Nob Hill, The Italian Quarter, and Fisherman's Wharf! We are very excited to take you on this journey! Don't worry about other people, this tour is completely tailored to you with the Pintours App! With our app, you can pause the tour, and check out the locations as long as you want! You can skip a stop you don't like, and you have all the best information about each stop at your fingertips.",13.05,"1-4 hours"
6,"North Beach & Little Italy Walking Food Tour | San Francisco",5.0,1,3.0,0,1,NULL,74.00,"1-4 hours"
7,"China Town & North Beach Walking Food Tour in San Francisco",NULL,0,3.0,0,1,NULL,138.00,"1-4 hours"
8,"Golden Gate Bridge to Sausalito Guided Bike Tour | San Francisco",NULL,0,2.5,0,1,NULL,54.24,"1-4 hours"
9,"San Francisco Chinatown Culinary Walking Tour | USA",NULL,0,3.0,0,1,NULL,99.00,"1-4 hours"
10,"Redwoods of Marin and Mt. Tamalpais Walking Tour with Local Guide",5.0,4,3.0,0,1,"See Marin's world-famous redwoods without the crowds on your moderately strenuous, 3 to 4-hour, guided small-group tour led by an expert local guide. Access the iconic redwood groves of charming Mill Valley on foot and navigate the quiet trails following the fern-lined canyons at the base of Mt. Tamalpais. Experience cathedral-like ancient trees in a primeval creek-side setting and explore the redwood groves for about two and a half hours. The walk begins with a shuttle from a meeting place near the ferry landing in downtown Sausalito (ferry ticket not included) and then a stroll through Mill Valley's historic downtown before heading out into the redwood forests and park-like neighborhoods.",58.36,"1-4 hours"
